oil,オイル/油
operation,運転/運用
opinion,意見/持論
order,配列/順序
organization,設立/組織
ornament,装飾/飾り
owner,持主
page,ページ
pain,痛み
paint,色つけ/塗装
paper,紙
part,ある程度/一部分は
paste,貼りつける
payment,入金/払出
peace,和平/安らぎ
person,個人/人間
place,場所/地位
plant,植物/草木
play,遊ぶ/試合する/演奏する
pleasure,喜び/快楽
point,点/地点/得点/先端
poison,毒
polish,磨る/研ぐ
porter,運搬人/門番
position,場所/立場
powder,粉/粉末
power,力/権力/原動力
price,価格/代償
print,印刷/発行
process,過程/プロセス
produce,生産する/創作する
profit,得する/儲ける
property,所有物/不動産/特性
prose,散文
protest,断言する/主張する/抗議する
pull,引っぱる
punishment,処罰/制裁
purpose,目的/用途
push,押す
quality,品質
question,問いただす/たずねる
rain,雨が降る
range,範囲
rate,割合/速度
ray,光線
reaction,反応/手応え
reading,読み取り
reason,推論/理由
record,レコード/記録/成績
regret,惜しむ/悔やむ
relation,結付き/関係
religion,信仰/信条
representative,代表する
request,要求/頼む
respect,尊敬/評価
rest,休む/休息する
reward,報いる
rhythm,リズム/拍子
rice,おコメ
river,川
road,道筋/道路
roll,転がる/転がす
room,部屋
rub,こする/摩擦する
rule,ルール/規則
run,走る
salt,塩
sand,砂
scale,目盛り/ものさし/段階
science,科学
sea,海
seat,着席させる
secretary,事務官/秘書/書記
selection,選択/より抜き
self,自分/自身
sense,感覚/気持ち
servant,使用人
sex,性別
shade,影/傘/濃淡
shake,振る/ゆり動かす
shame,恥/恥ずかしさ
shock,ショック/衝撃
side,片面/片側
sign,記号/合図/標識/看板
silk,絹糸/シルク/絹布
silver,銀/銀製品/銀色
sister,姉妹/姉/妹
size,サイズ
sky,空
sleep,眠る
slip,すべる/すべらせる
slope,傾ける
smash,打ち付ける/打ち壊す
smell,においがする/においをかぐ
smile,ほほ笑む
smoke,煙を出す/タバコを吸う
sneeze,くしゃみをする
snow,雪が降る
soap,せっけん/洗剤
society,世界/社会
son,息子
song,歌/歌唱
sort,分類する/整列させる
sound,鳴る/響く
soup,スープ
space,スペース/空間
stage,区間/舞台
start,開始/着手
statement,述べる/声明
steam,蒸す/蒸らす
steel,鋼鉄
step,段/段階/階段
stitch,ぬい合わせる
stone,石
stop,ストップ/休止
story,物語/お話
stretch,伸張/伸ばす
structure,構造/建築物
substance,物質/実体/中身
sugar,さとう
suggestion,提案
summer,夏
support,支える/支持する
surprise,驚き
swim,泳ぎ/水泳
system,システム/系統/体系
talk,話す/演説する
taste,味覚/風味
tax,課税
teaching,教え/教育/指導
tendency,傾向
test,テスト
theory,理論/学説
thing,モノ/物体
thought,思索/考えること
thunder,雷/雷鳴/咆哮
time,時/年月
tin,スズ/ブリキ
top,てっぺん
touch,タッチ/接触
trade,交換
transport,運輸/運送/運び
trick,いたずら/たくらみ
trouble,故障/問題点
turn,回転させる/まわす/ひねる
twist,ひねる/ねじる/寄り合わせる
unit,単一体/集合体/単位/部隊
use,使う
value,価値/評価
verse,詩節/詩句
vessel,容器/船舶
view,視野/光景/視点
voice,声
walk,歩く
war,戦争
wash,洗う
waste,浪費する/無駄にする
water,水
wave,波
wax,ロウ/ロウ状のもの
way,道/方式
weather,天気
week,週
weight,重さ
wind,風
wine,ワイン
winter,冬
woman,女性
wood,樹木/木材
wool,羊毛
word,言葉/単語
work,労働/訓練
wound,負傷/痛手
writing,作文/書きもの
year,年
angle,角度
ant,アリ
apple,リンゴ
arch,カーブ/弯曲/アーチ
arm,武装/備える/装備
army,軍団/部隊
baby,ベビー/赤ん坊
bag,ふくろ/かばん
ball,球/ボール
band,しばるもの/ひも
basin,洗面器/水たまり
basket,かご
bath,入浴/風呂
bed,ベッド/寝床
bee,蜂/蜜蜂
bell,ベル/鐘
berry,ベリー/いちご
bird,鳥
blade,刃物/ひげそり
board,板
boat,小船/ボート
bone,骨
book,本
boot,ブーツ/長靴
bottle,ビン
box,箱
boy,男の子/ボーイ
brain,頭脳
brake,歯止め/ブレーキ
branch,枝/枝分れ
brick,ブロック/レンガ
bridge,橋/橋渡し
brush,ブラシ/刷毛/小競り合い
bucket,バケツ/手桶
bulb,球状のもの/電球
button,ボタン/スイッチ
cake,ケーキ/焼き固めた食べ物
camera,カメラ/写真機
card,カード
cart,カート/荷車
carriage,乗り物/車両
cat,ネコ
chain,くさり
cheese,チーズ名詞】
chest,むね/箱
chin,アゴ
church,教会/礼拝
circle,一回り/円形
clock,計時
cloud,雲
coat,コート/外套
collar,エリ/襟飾り
comb,クシ
cord,ひも/つなぎ紐
cow,牛
cup,コップ
curtain,カーテン/幕
cushion,クッション/緩衝材
dog,犬
door,扉/門戸
drain,排水路/流出
drawer,引き出し
dress,衣服
drop,しずく/落下
ear,耳
egg,卵
engine,エンジン/発動機/
eye,目/
face,顔/正面
farm,農場
feather,羽/羽毛
finger,指
fish,魚
flag,旗
floor,床/階
